Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PKatt,PKA,PKsv,PKm,Match Report,,Before and After
HUGO LLORIS,2016-07-03,Sun,UEFA Euro,Quarter-finals,Home,W 5–2,fr France,is Iceland,Y*,GK,90,5,2,3,60,0,0,0,0,0,Match Report,,
,2016-07-07,Thu,UEFA Euro,Semi-finals,Away,W 2–0,fr France,de Germany,Y*,GK,90,5,0,5,100,1,0,0,0,0,Match Report,,
,2016-07-10,Sun,UEFA Euro,Final,Away,L 0–1,fr France,pt Portugal,Y*,GK,120,3,1,2,66.7,0,0,0,0,0,Match Report,,
,2016-08-13,Sat,Premier League,Matchweek 1,Away,D 1–1,Tottenham,Everton,Y*,GK,34,4,1,3,75,0,0,0,0,0,Match Report,,
,2016-09-10,Sat,Premier League,Matchweek 4,Away,W 4–0,Tottenham,Stoke City,Y*,GK,90,2,0,2,100,1,0,0,0,0,Match Report,,
,2016-09-14,Wed,Champions Lg,Group stage,Home,L 1–2,eng Tottenham,fr Monaco,Y*,GK,90,2,2,0,0,0,0,0,0,0,Match Report,,
,2016-09-18,Sun,Premier League,Matchweek 5,Home,W 1–0,Tottenham,Sunderland,Y*,GK,90,1,0,1,100,1,0,0,0,0,Match Report,,
,2016-09-24,Sat,Premier League,Matchweek 6,Away,W 2–1,Tottenham,Middlesbrough,Y*,GK,90,2,1,1,50,0,0,0,0,0,Match Report,,
,2016-09-27,Tue,Champions Lg,Group stage,Away,W 1–0,eng Tottenham,ru CSKA Moscow,Y*,GK,90,2,0,2,100,1,0,0,0,0,Match Report,,
,2016-10-02,Sun,Premier League,Matchweek 7,Home,W 2–0,Tottenham,Manchester City,Y*,GK,90,6,0,6,100,1,0,0,0,0,Match Report,,
,2016-10-07,Fri,WCQ,First round,Home,W 4–1,fr France,bg Bulgaria,Y*,GK,90,,1,,,0,1,1,0,0,Match Report,,
,2016-10-10,Mon,WCQ,First round,Away,W 1–0,fr France,nl Netherlands,Y*,GK,90,,0,,,1,0,0,0,0,Match Report,,
,2016-10-15,Sat,Premier League,Matchweek 8,Away,D 1–1,Tottenham,West Brom,Y*,GK,90,4,1,3,75,0,0,0,0,0,Match Report,,
,2016-10-18,Tue,Champions Lg,Group stage,Away,D 0–0,eng Tottenham,de Leverkusen,Y*,GK,90,6,0,6,100,1,0,0,0,0,Match Report,,
,2016-10-22,Sat,Premier League,Matchweek 9,Away,D 0–0,Tottenham,Bournemouth,Y*,GK,90,1,0,1,100,1,0,0,0,0,Match Report,,
,2016-10-29,Sat,Premier League,Matchweek 10,Home,D 1–1,Tottenham,Leicester City,Y*,GK,90,2,1,1,50,0,0,0,0,0,Match Report,,
,2016-11-02,Wed,Champions Lg,Group stage,Home,L 0–1,eng Tottenham,de Leverkusen,Y*,GK,90,2,1,1,50,0,0,0,0,0,Match Report,,
,2016-11-06,Sun,Premier League,Matchweek 11,Away,D 1–1,Tottenham,Arsenal,Y*,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report,,
,2016-11-11,Fri,WCQ,First round,Home,W 2–1,fr France,se Sweden,Y*,GK,90,,1,,,0,0,0,0,0,Match Report,,
,2016-11-19,Sat,Premier League,Matchweek 12,Home,W 3–2,Tottenham,West Ham,Y*,GK,90,2,2,1,50,0,1,1,0,0,Match Report,,
,2016-11-22,Tue,Champions Lg,Group stage,Away,L 1–2,eng Tottenham,fr Monaco,Y*,GK,90,9,2,8,77.8,0,1,0,1,0,Match Report,,
,2016-11-26,Sat,Premier League,Matchweek 13,Away,L 1–2,Tottenham,Chelsea,Y*,GK,90,5,2,3,60,0,0,0,0,0,Match Report,,
,2016-12-03,Sat,Premier League,Matchweek 14,Home,W 5–0,Tottenham,Swansea City,Y,GK,90,0,0,0,,1,0,0,0,0,Match Report,,
,2016-12-07,Wed,Champions Lg,Group stage,Home,W 3–1,eng Tottenham,ru CSKA Moscow,Y*,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report,,
