Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Match Report,B/A Rule
Martinez,2017-10-24,Tue,Copa del Rey,Round of 32,Home,L 0–1,Getafe,Alavés,Y,,90,,1,,,0,,0,0,0,0,Match Report,FALSE
Martinez,2017-11-30,Thu,Copa del Rey,Round of 32,Away,L 0–3,Getafe,Alavés,Y,,90,,3,,,0,,0,0,0,0,Match Report,FALSE
Martinez,2018-01-06,Sat,La Liga,Matchweek 18,Away,L 0–2,Getafe,Atlético Madrid,Y,GK,90,5,2,3,60,0,2,0,0,0,0,Match Report,FALSE
Martinez,2018-01-12,Fri,La Liga,Matchweek 19,Home,W 1–0,Getafe,Málaga,Y,GK,90,2,0,2,100,1,0.3,0,0,0,0,Match Report,FALSE
Martinez,2018-01-19,Fri,La Liga,Matchweek 20,Home,D 2–2,Getafe,Athletic Club,Y,GK,90,5,2,3,80,0,2.1,1,1,0,0,Match Report,FALSE
Martinez,2018-02-28,Wed,La Liga,Matchweek 26,Home,W 3–0,Getafe,La Coruña,Y,GK,90,1,0,1,100,1,0.1,0,0,0,0,Match Report,FALSE
Martinez,2018-03-03,Sat,La Liga,Matchweek 27,Away,L 1–3,Getafe,Real Madrid,Y,GK,90,6,3,3,50,0,2,0,0,0,0,Match Report,FALSE
Alisson,2017-08-20,Sun,Serie A,Matchweek 1,Away,W 1–0,Roma,Atalanta,Y,GK,90,6,0,6,100,1,0.6,0,0,0,0,Match Report,FALSE
Alisson,2017-08-26,Sat,Serie A,Matchweek 2,Home,L 1–3,Roma,Inter,Y,GK,90,8,3,5,62.5,0,2.7,0,0,0,0,Match Report,FALSE
Alisson,2017-08-31,Thu,WCQ,WCQ — CONMEBOL (M),Home,W 2–0,br Brazil,ec Ecuador,Y,,90,,0,,,1,,0,0,0,0,Match Report,FALSE
